epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1167.71,1.48667,1.21774,1.29512,0.83201,0.53726,0.52248,0.27109,1.61513,1.08911,1.3674,0.00999805,0.00333268,0.00999805,0.00333268,0.00999805,0.00333268,0.00999805,0.00333268
2,2018.44,1.4491,1.04511,1.22728,0.83267,0.52779,0.52887,0.26836,1.57539,1.13639,1.32288,0.0197341,0.00657803,0.0197341,0.00657803,0.0197341,0.00657803,0.0197341,0.00657803
3,2778.19,1.4815,1.10266,1.24906,0.8255,0.52276,0.51001,0.25994,1.57538,1.1819,1.36896,0.0292061,0.00973537,0.0292061,0.00973537,0.0292061,0.00973537,0.0292061,0.00973537
4,3544.61,1.48998,1.11436,1.26905,0.82802,0.52564,0.51949,0.26836,1.59992,1.11036,1.38414,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
5,4289.04,1.45278,1.03678,1.24585,0.84346,0.53516,0.53468,0.28512,1.54371,1.0685,1.34342,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
6,5141.68,1.41895,0.998,1.22747,0.84373,0.54674,0.53894,0.29139,1.52417,1.04416,1.3412,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
7,5928.14,1.39984,0.96911,1.22157,0.84527,0.54222,0.5462,0.30074,1.48694,1.02149,1.32865,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
8,6715.94,1.38352,0.9384,1.20837,0.84856,0.55326,0.55968,0.30672,1.4936,1.00534,1.31859,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
9,7482.61,1.36812,0.92604,1.20487,0.8501,0.55527,0.56294,0.31217,1.4876,1.00425,1.31842,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
10,8276.91,1.35633,0.8994,1.19741,0.85624,0.55162,0.56613,0.31706,1.46122,0.963,1.30856,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
11,9046.15,1.34655,0.89033,1.19123,0.85082,0.55626,0.57112,0.32201,1.45863,0.95582,1.297,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
12,9786.8,1.34493,0.88481,1.18225,0.85346,0.55721,0.57086,0.32487,1.44273,0.95467,1.27799,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
13,10524.5,1.33058,0.8715,1.17603,0.85504,0.56098,0.57347,0.32922,1.43105,0.94895,1.28315,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
14,11294.1,1.32376,0.85816,1.17425,0.85385,0.55975,0.57683,0.33219,1.42776,0.94606,1.27679,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
15,12061.5,1.31952,0.84927,1.17449,0.85207,0.56559,0.57946,0.33578,1.41335,0.93647,1.27149,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
16,12824,1.30735,0.84341,1.17184,0.85668,0.56537,0.58138,0.33837,1.41872,0.92698,1.27369,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
17,13634.5,1.30017,0.83386,1.1654,0.85861,0.56451,0.58219,0.33822,1.40319,0.92566,1.25928,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
18,14429.1,1.29563,0.82476,1.15831,0.85709,0.56615,0.57931,0.33982,1.40057,0.92364,1.25846,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
19,15236.2,1.29076,0.81994,1.15891,0.85063,0.57361,0.58321,0.34468,1.38842,0.90506,1.25288,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
20,15930.1,1.28163,0.81135,1.15344,0.85729,0.5721,0.58653,0.34559,1.39424,0.91762,1.26069,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
21,16590.7,1.28198,0.80036,1.15085,0.86667,0.56524,0.58864,0.35063,1.38798,0.8905,1.25483,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
22,17227,1.27455,0.7993,1.14905,0.86178,0.56957,0.58905,0.35161,1.38391,0.895,1.25406,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
23,17865.2,1.27387,0.78862,1.14974,0.85727,0.57146,0.58694,0.35075,1.38605,0.89904,1.25135,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
24,18502,1.2712,0.79198,1.15014,0.85987,0.56945,0.5911,0.35372,1.38562,0.88328,1.25264,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
25,19139.5,1.25903,0.78229,1.14079,0.86398,0.57295,0.59061,0.3544,1.37658,0.8881,1.2482,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
26,19783.3,1.25422,0.77595,1.14154,0.85802,0.57642,0.59155,0.35664,1.36713,0.8805,1.24158,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
27,20421.1,1.24395,0.77064,1.13704,0.86492,0.57244,0.59138,0.35766,1.36478,0.87568,1.24486,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
