epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9787,2.08329,2.9685,2.02645,0.69257,0.31929,0.35829,0.13463,1.96215,2.72567,2.02647,0.000467346,0.000467346,0.000467346
2,21.3341,1.87457,2.14963,1.78127,0.44068,0.43465,0.3408,0.11427,2.16708,2.28348,2.11179,0.000931223,0.000931223,0.000931223
3,28.3553,1.98869,2.23533,1.82536,0.37248,0.4082,0.33585,0.11491,2.29124,2.21642,2.3016,0.00138252,0.00138252,0.00138252
4,36.6693,1.92536,2.16103,1.77192,0.36804,0.3344,0.36057,0.13392,2.06186,2.88778,2.2008,0.00137241,0.00137241,0.00137241
5,45.5863,1.93322,2.12061,1.77727,0.70192,0.25193,0.28601,0.10128,2.20042,2.62115,2.23368,0.00135355,0.00135355,0.00135355
6,52.4934,1.9206,2.00899,1.82084,0.34489,0.46136,0.37695,0.14502,2.12948,2.28729,2.19926,0.00133469,0.00133469,0.00133469
7,61.1727,1.94536,1.91141,1.86767,0.37722,0.47215,0.35257,0.12482,2.25044,2.01551,2.3358,0.00131582,0.00131582,0.00131582
8,70.2237,1.9281,1.84857,1.803,0.37379,0.5098,0.39579,0.14292,2.10234,2.06248,2.13881,0.00129696,0.00129696,0.00129696
9,80.0858,1.95905,1.87102,1.86419,0.6606,0.37108,0.37263,0.12685,2.16501,1.87196,2.1569,0.0012781,0.0012781,0.0012781
10,89.8457,1.84854,1.67556,1.76239,0.50966,0.53459,0.4966,0.18339,2.13271,1.63473,2.13975,0.00125923,0.00125923,0.00125923
11,98.8746,1.84029,1.65727,1.73782,0.45644,0.45909,0.39625,0.1479,2.1627,1.811,2.15307,0.00124037,0.00124037,0.00124037
12,107.851,1.8472,1.54501,1.71755,0.40645,0.49742,0.42843,0.16168,2.14854,1.66857,2.05031,0.00122151,0.00122151,0.00122151
13,117.076,1.86159,1.66469,1.79822,0.53688,0.42162,0.4269,0.15326,2.20341,1.84271,2.18632,0.00120265,0.00120265,0.00120265
14,126.289,1.82296,1.53596,1.72457,0.55418,0.50542,0.51418,0.18798,2.04121,1.60864,2.04848,0.00118378,0.00118378,0.00118378
15,135.314,1.81295,1.57446,1.77744,0.41954,0.52952,0.44151,0.17522,2.07787,1.79323,2.06974,0.00116492,0.00116492,0.00116492
16,144.366,1.83227,1.52779,1.75864,0.50129,0.53458,0.50157,0.19018,2.10268,1.55349,2.09048,0.00114606,0.00114606,0.00114606
17,153.25,1.83221,1.54168,1.7166,0.49055,0.50593,0.4712,0.18113,2.01613,1.56814,2.02036,0.0011272,0.0011272,0.0011272
18,161.747,1.83458,1.51973,1.75879,0.41158,0.5629,0.45697,0.18985,1.98462,1.5188,1.98758,0.00110833,0.00110833,0.00110833
19,170.108,1.8064,1.53125,1.7054,0.52946,0.48023,0.47838,0.18077,2.10478,1.53056,2.08773,0.00108947,0.00108947,0.00108947
20,178.449,1.7619,1.41914,1.68702,0.52984,0.51787,0.51539,0.20665,2.01926,1.54317,2.01371,0.00107061,0.00107061,0.00107061
